,Season,TeamID,Opponent_PointDiff
0,1985,1292,27.0
1,1985,1298,6.0
2,1985,1299,21.0
3,1985,1301,23.0
4,1985,1305,28.0
5,1985,1314,14.0
6,1985,1318,35.0
7,1985,1323,27.0
8,1985,1325,11.0
9,1985,1326,36.0
10,1985,1328,18.666666666666668
11,1985,1330,17.0
12,1985,1333,9.0
13,1985,1335,17.0
14,1985,1337,13.0
15,1985,1338,36.0
16,1985,1345,3.0
17,1985,1104,22.0
18,1985,1361,5.0
19,1985,1112,13.0
20,1985,1116,52.0
21,1985,1374,14.0
22,1985,1120,19.0
23,1985,1380,52.0
24,1985,1385,31.5
25,1985,1130,15.0
26,1985,1393,32.0
27,1985,1396,78.0
28,1985,1403,3.0
29,1985,1409,4.0
30,1985,1412,17.0
31,1985,1424,11.0
32,1985,1425,3.0
33,1985,1173,30.0
34,1985,1431,28.0
35,1985,1433,13.0
36,1985,1177,5.0
37,1985,1181,3.0
38,1985,1437,26.4
39,1985,1439,3.0
40,1985,1192,4.0
41,1985,1449,11.0
42,1985,1455,8.0
43,1985,1207,26.2
44,1985,1208,35.0
45,1985,1210,39.333333333333336
46,1985,1228,20.0
47,1985,1229,21.0
48,1985,1233,14.0
49,1985,1234,9.0
50,1985,1235,11.0
51,1985,1242,3.0
52,1985,1246,28.5
53,1985,1250,78.0
54,1985,1256,16.0
55,1985,1260,47.5
56,1985,1261,23.0
57,1985,1267,16.0
58,1985,1268,26.5
59,1985,1272,14.0
60,1985,1273,32.0
61,1985,1275,6.0
62,1985,1276,30.0
63,1985,1277,2.0
64,1986,1281,2.0
65,1986,1286,9.0
66,1986,1290,67.0
67,1986,1298,42.0
68,1986,1299,65.0
69,1986,1301,25.666666666666668
70,1986,1304,8.0
71,1986,1314,36.5
72,1986,1318,6.0
73,1986,1323,7.0
74,1986,1328,9.0
75,1986,1330,67.0
76,1986,1337,5.0
77,1986,1345,17.0
78,1986,1350,1.0
79,1986,1103,6.0
80,1986,1104,28.0
81,1986,1112,33.0
82,1986,1114,20.0
83,1986,1120,36.333333333333336
84,1986,1123,32.0
85,1986,1385,33.0
86,1986,1386,10.0
87,1986,1133,71.0
88,1986,1135,49.0
89,1986,1393,32.0
90,1986,1396,65.0
91,1986,1403,6.0
92,1986,1409,32.0
93,1986,1412,30.0
94,1986,1156,16.5
95,1986,1419,29.0
96,1986,1424,19.0
97,1986,1428,30.0
