WTeamID,Season,Wins_x,LTeamID_x,loss_x,Total Games_x,WSeason_pct,Wins_y,LTeamID_y,loss_y,Total Games_y,WTourney_pct
0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,1.0,1.0,0.0
1101.0,2021,19.0,1101.0,4.0,23.0,82.6086956521739,1.0,1101.0,1.0,2.0,50.0
0.0,2004,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,1.0,1.0,0.0
0.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,1.0,1.0,0.0
0.0,1986,0.0,1159.0,22.0,22.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2013,0.0,1212.0,28.0,28.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2022,0.0,1175.0,25.0,25.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2022,0.0,1249.0,27.0,27.0,0.0,0.0,1103.0,1.0,1.0,0.0
0.0,2024,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,1.0,1.0,0.0
1104.0,1985,21.0,1104.0,9.0,30.0,70.0,2.0,1104.0,1.0,3.0,66.66666666666667
1104.0,1986,22.0,1104.0,8.0,30.0,73.33333333333333,2.0,1104.0,1.0,3.0,66.66666666666667
1104.0,1987,26.0,1104.0,4.0,30.0,86.66666666666667,2.0,1104.0,1.0,3.0,66.66666666666667
0.0,1989,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,1.0,1.0,0.0
1104.0,1990,24.0,1104.0,8.0,32.0,75.0,2.0,1104.0,1.0,3.0,66.66666666666667
1104.0,1991,21.0,1104.0,9.0,30.0,70.0,2.0,1104.0,1.0,3.0,66.66666666666667
1104.0,1992,25.0,1104.0,8.0,33.0,75.75757575757575,1.0,1104.0,1.0,2.0,50.0
