,Unnamed: 0_x,Season,TeamID,Opponent_WinPct,Unnamed: 0_y,Opponent_PointDiff,AdjPointDiff
0,0,1985,1102,68.96551724137932,0,131.21428571428572,9049.261083743844
1,1,1985,1103,0.0,1,105.26666666666668,0.0
2,2,1985,1104,64.0622149242839,2,147.0,9417.145593869733
3,3,1985,1106,92.85714285714286,3,164.35714285714286,15261.734693877552
4,4,1985,1108,89.28571428571429,4,133.53333333333333,11922.619047619048
5,5,1985,1109,0.0,5,148.52631578947367,0.0
6,6,1985,1110,87.36772486772486,6,153.58823529411765,13418.65468409586
7,7,1985,1111,75.86206896551724,7,147.69230769230768,11204.244031830238
8,8,1985,1112,0.0,8,146.66666666666666,0.0
9,9,1985,1113,71.57953281423804,9,171.33333333333334,12263.959955506118
10,10,1985,1114,83.33333333333333,10,160.125,13343.75
11,11,1985,1116,77.80060590544463,11,175.72727272727272,13671.688292293133
12,12,1985,1117,90.83743842364532,12,165.73333333333332,15054.791461412151
13,13,1985,1119,82.14285714285714,13,124.38888888888889,10217.65873015873
14,14,1985,1120,70.83597883597884,14,183.9375,13029.392857142857
15,15,1985,1121,77.41935483870968,15,143.75,11129.032258064517
16,16,1985,1122,71.66666666666666,16,129.6153846153846,9289.102564102563
17,17,1985,1123,92.85714285714286,17,123.88888888888889,11503.968253968254
18,18,1985,1124,68.48484848484848,18,134.6,9218.060606060606
19,19,1985,1126,0.0,19,134.0625,0.0
20,20,1985,1129,0.0,20,141.0,0.0
21,21,1985,1130,80.1309067688378,21,160.76470588235293,12882.221658778453
22,22,1985,1131,74.19354838709677,22,139.35294117647058,10339.08918406072
23,23,1985,1132,0.0,23,116.76470588235294,0.0
24,24,1985,1133,80.05534269902085,24,153.88235294117646,12319.104500037562
25,25,1985,1134,0.0,25,99.29411764705884,0.0
26,26,1985,1135,61.53846153846154,26,83.26315789473684,5123.886639676113
27,27,1985,1137,70.0,27,114.2,7994.0
28,28,1985,1139,77.38095238095238,28,123.6923076923077,9571.42857142857
29,29,1985,1140,68.63711001642037,29,164.31578947368422,11278.16091954023
30,30,1985,1141,0.0,30,113.28571428571428,0.0
31,31,1985,1143,0.0,31,138.28571428571428,0.0
32,32,1985,1144,74.81390257252326,32,166.3125,12442.487171592775
33,33,1985,1145,72.41379310344827,33,129.88235294117646,9405.2738336714
34,34,1985,1147,83.0952380952381,34,186.07692307692307,15462.106227106227
35,35,1985,1149,70.09790152170575,35,135.875,9524.552369261768
