,Season,TeamID,Opponent_Seed
0,1985,1292,2.0
1,1985,1298,4.5
2,1985,1299,1.0
3,1985,1301,8.25
4,1985,1305,3.0
5,1985,1314,10.25
6,1985,1318,3.0
7,1985,1323,6.0
8,1985,1325,3.0
9,1985,1326,9.0
10,1985,1328,8.0
11,1985,1330,5.0
12,1985,1333,7.0
13,1985,1335,2.0
14,1985,1337,3.0
15,1985,1338,5.0
16,1985,1345,11.0
17,1985,1104,5.0
18,1985,1361,4.0
19,1985,1112,7.0
20,1985,1116,4.5
21,1985,1374,8.0
22,1985,1120,3.6666666666666665
23,1985,1380,1.0
24,1985,1385,8.2
25,1985,1130,3.6666666666666665
26,1985,1393,6.0
27,1985,1396,5.0
28,1985,1403,11.0
29,1985,1409,11.0
30,1985,1412,6.0
31,1985,1424,12.5
32,1985,1425,9.0
33,1985,1173,8.0
34,1985,1431,4.5
35,1985,1433,11.0
36,1985,1177,7.0
37,1985,1181,12.5
38,1985,1437,3.3333333333333335
39,1985,1439,8.0
40,1985,1192,1.0
41,1985,1449,12.0
42,1985,1455,6.0
43,1985,1207,6.5
44,1985,1208,7.0
45,1985,1210,6.5
46,1985,1228,7.333333333333333
47,1985,1229,4.5
48,1985,1233,4.0
49,1985,1234,9.0
50,1985,1235,4.0
51,1985,1242,12.5
52,1985,1246,3.3333333333333335
53,1985,1250,1.0
54,1985,1256,5.666666666666667
55,1985,1260,6.333333333333333
56,1985,1261,13.0
57,1985,1267,2.0
58,1985,1268,11.0
59,1985,1272,8.4
60,1985,1273,2.0
61,1985,1275,5.0
62,1985,1276,12.0
63,1985,1277,7.0
64,1986,1281,6.0
65,1986,1286,1.0
66,1986,1290,1.0
67,1986,1298,6.75
68,1986,1299,1.0
69,1986,1301,8.25
70,1986,1304,8.0
71,1986,1314,7.333333333333333
72,1986,1318,4.0
73,1986,1323,14.0
74,1986,1328,12.5
75,1986,1330,5.0
76,1986,1337,5.0
77,1986,1345,11.0
78,1986,1350,6.0
79,1986,1103,2.0
80,1986,1104,5.666666666666667
81,1986,1112,8.0
82,1986,1114,4.5
83,1986,1120,4.0
84,1986,1123,3.0
85,1986,1385,12.0
86,1986,1386,12.5
87,1986,1133,6.0
88,1986,1135,2.0
89,1986,1393,11.0
90,1986,1396,4.5
91,1986,1403,4.0
92,1986,1409,7.0
93,1986,1412,7.0
94,1986,1156,5.333333333333333
95,1986,1419,4.0
96,1986,1424,8.666666666666666
97,1986,1428,3.0
98,1986,1172,1.0
99,1986,1431,7.0
100,1986,1177,3.3333333333333335
101,1986,1180,2.0
102,1986,1181,7.666666666666667
103,1986,1437,4.5
104,1986,1438,12.0
105,1986,1439,10.0
106,1986,1443,5.0
107,1986,1449,5.0
108,1986,1193,4.0
109,1986,1452,8.0
110,1986,1462,5.0
111,1986,1207,9.0
112,1986,1210,12.0
113,1986,1228,9.0
114,1986,1231,14.0
115,1986,1234,6.0
116,1986,1235,6.0
117,1986,1239,9.0
118,1986,1242,7.4
119,1986,1246,10.0
120,1986,1257,7.5
121,1986,1261,2.8
122,1986,1265,2.0
123,1986,1268,8.0
124,1986,1272,12.5
125,1986,1275,7.0
126,1986,1276,11.0
127,1986,1277,5.666666666666667
128,1987,1281,13.0
129,1987,1283,4.5
130,1987,1292,5.0
131,1987,1298,9.0
132,1987,1299,2.0
133,1987,1301,6.0
134,1987,1309,6.0
135,1987,1314,8.0
136,1987,1318,3.0
137,1987,1323,5.666666666666667
138,1987,1326,4.5
139,1987,1328,5.333333333333333
140,1987,1335,1.0
141,1987,1338,10.0
142,1987,1344,6.0
143,1987,1345,10.0
144,1987,1104,9.333333333333334
145,1987,1360,8.0
146,1987,1365,2.0
147,1987,1112,7.0
148,1987,1120,5.0
149,1987,1122,4.5
150,1987,1380,2.0
151,1987,1385,7.0
152,1987,1393,6.5
153,1987,1137,1.0
154,1987,1395,9.0
155,1987,1396,12.5
156,1987,1140,7.0
157,1987,1141,4.0
158,1987,1401,5.0
159,1987,1409,6.0
160,1987,1155,13.0
161,1987,1412,6.0
162,1987,1417,12.5
163,1987,1424,8.0
164,1987,1431,6.0
165,1987,1177,10.0
166,1987,1181,8.666666666666666
167,1987,1438,12.0
168,1987,1443,4.5
169,1987,1193,1.0
170,1987,1196,5.333333333333333
171,1987,1452,10.0
172,1987,1455,6.0
173,1987,1204,2.0
174,1987,1461,3.3333333333333335
175,1987,1462,4.5
176,1987,1207,9.0
177,1987,1208,9.0
178,1987,1210,10.0
179,1987,1222,5.0
180,1987,1226,1.0
181,1987,1228,14.0
182,1987,1231,7.0
183,1987,1234,7.25
184,1987,1242,8.666666666666666
185,1987,1243,4.5
186,1987,1246,9.0
