,ID,Pred,Season,LowerTeamID,HigherTeamID
0,1985_1292_1298,0.5,1985,1292,1298
1,1985_1292_1299,0.5,1985,1292,1299
2,1985_1292_1301,0.5,1985,1292,1301
3,1985_1292_1305,0.5,1985,1292,1305
4,1985_1292_1314,0.5,1985,1292,1314
5,1985_1292_1318,0.5,1985,1292,1318
6,1985_1292_1323,0.5,1985,1292,1323
7,1985_1292_1325,0.5,1985,1292,1325
8,1985_1292_1326,0.5,1985,1292,1326
9,1985_1292_1328,0.5,1985,1292,1328
10,1985_1292_1330,0.5,1985,1292,1330
11,1985_1292_1333,0.5,1985,1292,1333
12,1985_1292_1335,0.5,1985,1292,1335
13,1985_1292_1337,0.5,1985,1292,1337
14,1985_1292_1338,0.5,1985,1292,1338
15,1985_1292_1345,0.5,1985,1292,1345
16,1985_1104_1292,0.5,1985,1104,1292
17,1985_1292_1361,0.5,1985,1292,1361
18,1985_1112_1292,0.5,1985,1112,1292
19,1985_1116_1292,0.5,1985,1116,1292
20,1985_1292_1374,0.5,1985,1292,1374
21,1985_1120_1292,0.5,1985,1120,1292
22,1985_1292_1380,0.5,1985,1292,1380
23,1985_1292_1385,0.5,1985,1292,1385
24,1985_1130_1292,0.5,1985,1130,1292
25,1985_1292_1393,0.5,1985,1292,1393
26,1985_1292_1396,0.5,1985,1292,1396
27,1985_1292_1403,0.5,1985,1292,1403
28,1985_1292_1409,0.5,1985,1292,1409
29,1985_1292_1412,0.5,1985,1292,1412
30,1985_1292_1424,0.5,1985,1292,1424
31,1985_1292_1425,0.5,1985,1292,1425
32,1985_1173_1292,0.5,1985,1173,1292
33,1985_1292_1431,0.5,1985,1292,1431
34,1985_1292_1433,0.5,1985,1292,1433
35,1985_1177_1292,0.5,1985,1177,1292
36,1985_1181_1292,0.5,1985,1181,1292
37,1985_1292_1437,0.5,1985,1292,1437
38,1985_1292_1439,0.5,1985,1292,1439
39,1985_1192_1292,0.5,1985,1192,1292
40,1985_1292_1449,0.5,1985,1292,1449
41,1985_1292_1455,0.5,1985,1292,1455
42,1985_1207_1292,0.5,1985,1207,1292
43,1985_1208_1292,0.5,1985,1208,1292
44,1985_1210_1292,0.5,1985,1210,1292
45,1985_1228_1292,0.5,1985,1228,1292
46,1985_1229_1292,0.5,1985,1229,1292
47,1985_1233_1292,0.5,1985,1233,1292
48,1985_1234_1292,0.5,1985,1234,1292
49,1985_1235_1292,0.5,1985,1235,1292
50,1985_1242_1292,0.5,1985,1242,1292
51,1985_1246_1292,0.5,1985,1246,1292
52,1985_1250_1292,0.5,1985,1250,1292
53,1985_1256_1292,0.5,1985,1256,1292
54,1985_1260_1292,0.5,1985,1260,1292
55,1985_1261_1292,0.5,1985,1261,1292
56,1985_1267_1292,0.5,1985,1267,1292
57,1985_1268_1292,0.5,1985,1268,1292
58,1985_1272_1292,0.5,1985,1272,1292
59,1985_1273_1292,0.5,1985,1273,1292
60,1985_1275_1292,0.5,1985,1275,1292
61,1985_1276_1292,0.5,1985,1276,1292
62,1985_1277_1292,0.5,1985,1277,1292
63,1985_1298_1299,0.5,1985,1298,1299
64,1985_1298_1301,0.5,1985,1298,1301
65,1985_1298_1305,0.5,1985,1298,1305
66,1985_1298_1314,0.5,1985,1298,1314
67,1985_1298_1318,0.5,1985,1298,1318
68,1985_1298_1323,0.5,1985,1298,1323
69,1985_1298_1325,0.5,1985,1298,1325
70,1985_1298_1326,0.5,1985,1298,1326
71,1985_1298_1328,0.5,1985,1298,1328
72,1985_1298_1330,0.5,1985,1298,1330
73,1985_1298_1333,0.5,1985,1298,1333
74,1985_1298_1335,0.5,1985,1298,1335
75,1985_1298_1337,0.5,1985,1298,1337
76,1985_1298_1338,0.5,1985,1298,1338
77,1985_1298_1345,0.5,1985,1298,1345
78,1985_1104_1298,0.5,1985,1104,1298
79,1985_1298_1361,0.5,1985,1298,1361
80,1985_1112_1298,0.5,1985,1112,1298
81,1985_1116_1298,0.5,1985,1116,1298
82,1985_1298_1374,0.5,1985,1298,1374
83,1985_1120_1298,0.5,1985,1120,1298
84,1985_1298_1380,0.5,1985,1298,1380
85,1985_1298_1385,0.5,1985,1298,1385
86,1985_1130_1298,0.5,1985,1130,1298
87,1985_1298_1393,0.5,1985,1298,1393
88,1985_1298_1396,0.5,1985,1298,1396
89,1985_1298_1403,0.5,1985,1298,1403
90,1985_1298_1409,0.5,1985,1298,1409
91,1985_1298_1412,0.5,1985,1298,1412
92,1985_1298_1424,0.5,1985,1298,1424
93,1985_1298_1425,0.5,1985,1298,1425
94,1985_1173_1298,0.5,1985,1173,1298
95,1985_1298_1431,0.5,1985,1298,1431
96,1985_1298_1433,0.5,1985,1298,1433
97,1985_1177_1298,0.5,1985,1177,1298
98,1985_1181_1298,0.5,1985,1181,1298
99,1985_1298_1437,0.5,1985,1298,1437
100,1985_1298_1439,0.5,1985,1298,1439
101,1985_1192_1298,0.5,1985,1192,1298
102,1985_1298_1449,0.5,1985,1298,1449
103,1985_1298_1455,0.5,1985,1298,1455
104,1985_1207_1298,0.5,1985,1207,1298
105,1985_1208_1298,0.5,1985,1208,1298
106,1985_1210_1298,0.5,1985,1210,1298
107,1985_1228_1298,0.5,1985,1228,1298
108,1985_1229_1298,0.5,1985,1229,1298
